id|points
E14000798|[[-0.20126394803041125, 72.29034026910216], [-0.1122655348428106, 72.44449192570414], [0.06573050498005469, 72.44449192570414], [0.15473340807056055, 72.29034026910216], [0.06573050498005469, 72.13618936627931], [-0.1122655348428106, 72.13618936627931], [-0.20126394803041125, 72.29034026910216]]
E14000582|[[-0.20126394803041125, 71.93434586257233], [-0.1122655348428106, 72.08849655237053], [0.06573050498005469, 72.08849655237053], [0.15473340807056055, 71.93434586257233], [0.06573050498005469, 71.78019405849173], [-0.1122655348428106, 71.78019405849173], [-0.20126394803041125, 71.93434586257233]]
E14000939|[[-0.20126394803041125, 71.57834680227444], [-0.1122655348428106, 71.73249860635522], [0.06573050498005469, 71.73249860635522], [0.15473340807056055, 71.57834680227444], [0.06573050498005469, 71.42419578474613], [-0.1122655348428106, 71.42419578474613], [-0.20126394803041125, 71.57834680227444]]
E14000714|[[-0.20126394803041125, 71.22234938062762], [-0.1122655348428106, 71.37650221705822], [0.06573050498005469, 71.37650221705822], [0.15473340807056055, 71.22234938062762], [0.06573050498005469, 71.06820031309363], [-0.1122655348428106, 71.06820031309363], [-0.20126394803041125, 71.22234938062762]]
E14000648|[[-0.20126394803041125, 70.86635326990115], [-0.1122655348428106, 71.02050507398178], [0.06573050498005469, 71.02050507398178], [0.15473340807056055, 70.86635326990115], [0.06573050498005469, 70.71220220321338], [-0.1122655348428106, 70.71220220321338], [-0.20126394803041125, 70.86635326990115]]
E14000859|[[-0.20126394803041125, 70.5103559138002], [-0.1122655348428106, 70.66450637418731], [0.06573050498005469, 70.66450637418731], [0.15473340807056055, 70.5103559138002], [0.06573050498005469, 70.3562068298795], [-0.1122655348428106, 70.3562068298795], [-0.20126394803041125, 70.5103559138002]]
E14000937|[[-0.20126394803041125, 70.154360491307], [-0.1122655348428106, 70.30851090253465], [0.06573050498005469, 70.30851090253465], [0.15473340807056055, 70.154360491307], [0.06573050498005469, 70.00020845781529], [-0.1122655348428106, 70.00020845781529], [-0.20126394803041125, 70.154360491307]]
E14000910|[[-0.20126394803041125, 69.79836216840198], [-0.1122655348428106, 69.9525127434947], [0.06573050498005469, 69.9525127434947], [0.15473340807056055, 69.79836216840198], [0.06573050498005469, 69.64421319918716], [-0.1122655348428106, 69.64421319918716], [-0.20126394803041125, 69.79836216840198]]
E14000744|[[-0.20126394803041125, 69.44236684422809], [-0.1122655348428106, 69.59651741932052], [0.06573050498005469, 69.59651741932052], [0.15473340807056055, 69.44236684422809], [0.06573050498005469, 69.28821481073622], [-0.1122655348428106, 69.28821481073622], [-0.20126394803041125, 69.44236684422809]]
E14000729|[[-0.20126394803041125, 69.08636847216376], [-0.1122655348428106, 69.24051921112124], [0.06573050498005469, 69.24051921112124], [0.15473340807056055, 69.08636847216376], [0.06573050498005469, 68.93221665169641], [-0.1122655348428106, 68.93221665169641], [-0.20126394803041125, 69.08636847216376]]
E14000687|[[-0.20126394803041125, 68.73037300051082], [-0.1122655348428106, 68.88452508316225], [0.06573050498005469, 68.88452508316225], [0.15473340807056055, 68.73037300051082], [0.06573050498005469, 68.57622118004362], [-0.1122655348428106, 68.57622118004362], [-0.20126394803041125, 68.73037300051082]]
E14000790|[[-0.20126394803041125, 68.37437489063058], [-0.1122655348428106, 68.52852551488274], [0.06573050498005469, 68.52852551488274], [0.15473340807056055, 68.37437489063058], [0.06573050498005469, 68.22022302100393], [-0.1122655348428106, 68.22022302100393], [-0.20126394803041125, 68.37437489063058]]
E14000720|[[-0.20126394803041125, 68.01837940259148], [-0.1122655348428106, 68.17252874869617], [0.06573050498005469, 68.17252874869617], [0.15473340807056055, 68.01837940259148], [0.06573050498005469, 67.86422754935114], [-0.1122655348428106, 67.86422754935114], [-0.20126394803041125, 68.01837940259148]]
E14000721|[[-0.20126394803041125, 67.66238124355151], [-0.1122655348428106, 67.81653193334985], [0.06573050498005469, 67.81653193334985], [0.15473340807056055, 67.66238124355151], [0.06573050498005469, 67.50822937392488], [-0.1122655348428106, 67.50822937392488], [-0.20126394803041125, 67.66238124355151]]
E14000555|[[-0.20126394803041125, 67.30638582105846], [-0.1122655348428106, 67.46053516716313], [0.06573050498005469, 67.46053516716313], [0.15473340807056055, 67.30638582105846], [0.06573050498005469, 67.15223406613714], [-0.1122655348428106, 67.15223406613714], [-0.20126394803041125, 67.30638582105846]]
E14000788|[[-0.20126394803041125, 66.95038766201863], [-0.1122655348428106, 67.10453941693993], [0.06573050498005469, 67.10453941693993], [0.15473340807056055, 66.95038766201863], [0.06573050498005469, 66.79623585793802], [-0.1122655348428106, 66.79623585793802], [-0.20126394803041125, 66.95038766201863]]
E14000551|[[-0.20126394803041125, 66.59439235423103], [-0.1122655348428106, 66.74854212638473], [0.06573050498005469, 66.74854212638473], [0.15473340807056055, 66.59439235423103], [0.06573050498005469, 66.44024036989865], [-0.1122655348428106, 66.44024036989865], [-0.20126394803041125, 66.59439235423103]]
E14000652|[[-0.20126394803041125, 66.2383940804856], [-0.1122655348428106, 66.39254599927197], [0.06573050498005469, 66.39254599927197], [0.15473340807056055, 66.2383940804856], [0.06573050498005469, 66.0842422108588], [-0.1122655348428106, 66.0842422108588], [-0.20126394803041125, 66.2383940804856]]
E14000597|[[-0.20126394803041125, 65.88239860883294], [-0.1122655348428106, 66.03654767636709], [0.06573050498005469, 66.03654767636709], [0.15473340807056055, 65.88239860883294], [0.06573050498005469, 65.7282481812187], [-0.1122655348428106, 65.7282481812187], [-0.20126394803041125, 65.88239860883294]]
E14000771|[[-0.5038605782405055, 73.89232689677092], [-0.4148620503473608, 74.04647801261814], [-0.2368624382659816, 74.04647801261814], [-0.1478651557473652, 73.89232689677092], [-0.2368624382659816, 73.738175027144], [-0.4148620503473608, 73.738175027144], [-0.5038605782405055, 73.89232689677092]]
E14000724|[[-0.5038605782405055, 73.53632868857136], [-0.4148620503473608, 73.69048054181158], [-0.2368624382659816, 73.69048054181158], [-0.1478651557473652, 73.53632868857136], [-0.2368624382659816, 73.38217971935642], [-0.4148620503473608, 73.38217971935642], [-0.5038605782405055, 73.53632868857136]]
E14000773|[[-0.5038605782405055, 73.18033336439734], [-0.4148620503473608, 73.3344842180606], [-0.2368624382659816, 73.3344842180606], [-0.1478651557473652, 73.18033336439734], [-0.2368624382659816, 73.02618149477055], [-0.4148620503473608, 73.02618149477055], [-0.5038605782405055, 73.18033336439734]]
E14000716|[[-0.5038605782405055, 72.82433515619806], [-0.4148620503473608, 72.9784870258247], [-0.2368624382659816, 72.9784870258247], [-0.1478651557473652, 72.82433515619806], [-0.2368624382659816, 72.67018618698297], [-0.4148620503473608, 72.67018618698297], [-0.5038605782405055, 72.82433515619806]]
E14000707|[[-0.5038605782405055, 72.46833966815868], [-0.4148620503473608, 72.62249148862588], [-0.2368624382659816, 72.62249148862588], [-0.1478651557473652, 72.46833966815868], [-0.2368624382659816, 72.31418802794327], [-0.4148620503473608, 72.31418802794327], [-0.5038605782405055, 72.46833966815868]]
E14000929|[[-0.5038605782405055, 72.11234145995957], [-0.4148620503473608, 72.26649337874565], [-0.2368624382659816, 72.26649337874565], [-0.1478651557473652, 72.11234145995957], [-0.2368624382659816, 71.95819249074445], [-0.4148620503473608, 71.95819249074445], [-0.5038605782405055, 72.11234145995957]]
E14000865|[[-0.5038605782405055, 71.75634613578539], [-0.4148620503473608, 71.91049800541202], [-0.2368624382659816, 71.91049800541202], [-0.1478651557473652, 71.75634613578539], [-0.2368624382659816, 71.60219428254518], [-0.4148620503473608, 71.60219428254518], [-0.5038605782405055, 71.75634613578539]]
E14000908|[[-0.5038605782405055, 71.4003480422916], [-0.4148620503473608, 71.5544998955318], [-0.2368624382659816, 71.5544998955318], [-0.1478651557473652, 71.4003480422916], [-0.2368624382659816, 71.24620003988043], [-0.4148620503473608, 71.24620003988043], [-0.5038605782405055, 71.4003480422916]]
